Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/bat2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:09 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,10.491,2.783," 3,77","   75,57","   284,87"
02.05,8.412,2.312," 3,64","   88,52","   322,08"
03.05,6.909,1.980," 3,49","   89,02","   310,62"
04.05,10.194,2.598," 3,92","   79,77","   312,98"
05.05,15.175,3.883," 3,91","   68,38","   267,21"
06.05,14.958,3.921," 3,81","   62,94","   240,11"
07.05,9.642,2.846," 3,39","   82,89","   280,82"
08.05,10.159,2.826," 3,59","   85,54","   307,50"
09.05,8.838,2.173," 4,07","   84,69","   344,46"
10.05,9.967,2.101," 4,74","   74,34","   352,64"
11.05,11.691,2.785," 4,20","   76,47","   320,99"
12.05,12.520,2.942," 4,26","   71,70","   305,14"
13.05,12.115,3.114," 3,89","   68,18","   265,24"
14.05,11.665,3.078," 3,79","   76,66","   290,51"
15.05,10.975,2.957," 3,71","   79,02","   293,27"
16.05,9.179,2.640," 3,48","   82,71","   287,58"
17.05,8.253,2.518," 3,28","   80,13","   262,65"
18.05,11.507,2.805," 4,10","   72,39","   296,96"
19.05,10.129,2.449," 4,14","   85,04","   351,74"
20.05,8.694,2.242," 3,88","   90,57","   351,23"
21.05,10.111,2.342," 4,32","   67,72","   292,34"
22.05,10.536,2.282," 4,62","   77,40","   357,35"
23.05,8.445,2.444," 3,46","   97,57","   337,15"
24.05,6.924,1.970," 3,51","   91,04","   319,97"
25.05,9.398,2.629," 3,57","   89,55","   320,13"
26.05,8.505,2.375," 3,58","   96,11","   344,16"
27.05,8.389,2.511," 3,34","   102,88","   343,70"
28.05,9.591,2.399," 4,00","   86,07","   344,09"
29.05,10.518,2.716," 3,87","   84,74","   328,15"
30.05,8.809,2.577," 3,42","   87,67","   299,68"
31.05,7.539,2.270," 3,32","   89,95","   298,72"
?,310.238,81.468," 118,06","   2545,20","   9634,07"
?,10.008,2.628," 3,81","   82,10","   310,78"
