Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/blz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:14 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,0,0," 0,00","   0,00","   0,00"
02.05,0,0," 0,00","   0,00","   0,00"
03.05,1,1," 1,00","   11,00","   11,00"
04.05,1,1," 1,00","   0,00","   0,00"
05.05,4,2," 2,00","   1,50","   3,00"
06.05,1,1," 1,00","   0,00","   0,00"
07.05,10,2," 5,00","   18,25","   91,25"
08.05,1,1," 1,00","   0,00","   0,00"
09.05,0,0," 0,00","   0,00","   0,00"
10.05,1,1," 1,00","   0,00","   0,00"
11.05,9,5," 1,80","   1,00","   1,80"
12.05,1,1," 1,00","   0,00","   0,00"
13.05,3,2," 1,50","   13,50","   20,25"
14.05,15,4," 3,75","   73,00","   273,75"
15.05,1,1," 1,00","   0,00","   0,00"
16.05,0,0," 0,00","   0,00","   0,00"
17.05,10,4," 2,50","   1,00","   2,50"
18.05,1,1," 1,00","   0,00","   0,00"
19.05,5,1," 5,00","   1,00","   5,00"
20.05,0,0," 0,00","   0,00","   0,00"
21.05,14,1," 14,00","   17,08","   239,08"
22.05,1,1," 1,00","   0,00","   0,00"
23.05,1,1," 1,00","   0,00","   0,00"
24.05,3,2," 1,50","   124,00","   186,00"
25.05,0,0," 0,00","   0,00","   0,00"
26.05,0,0," 0,00","   0,00","   0,00"
27.05,0,0," 0,00","   0,00","   0,00"
28.05,0,0," 0,00","   0,00","   0,00"
29.05,8,3," 2,67","   139,40","   371,73"
30.05,0,0," 0,00","   0,00","   0,00"
31.05,2,1," 2,00","   0,00","   0,00"
?,93,37," 51,72","   400,73","   1205,36"
?,3,1," 1,67","   12,93","   38,88"
