Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/t...at/live, /nwn/apps/live/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:42:56 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,5.060,1.458," 3,47","   115,01","   399,14"
02.05,4.313,1.275," 3,38","   106,08","   358,83"
03.05,3.873,1.220," 3,17","   113,62","   360,70"
04.05,4.095,1.255," 3,26","   109,58","   357,56"
05.05,4.514,1.205," 3,75","   97,36","   364,71"
06.05,4.155,1.211," 3,43","   126,22","   433,06"
07.05,3.767,1.153," 3,27","   120,77","   394,58"
08.05,4.143,1.231," 3,37","   114,93","   386,80"
09.05,4.424,1.152," 3,84","   106,51","   409,02"
10.05,3.998,1.173," 3,41","   91,31","   311,20"
11.05,4.378,1.207," 3,63","   104,77","   380,02"
12.05,4.853,1.309," 3,71","   98,05","   363,50"
13.05,3.983,1.212," 3,29","   114,09","   374,92"
14.05,4.238,1.215," 3,49","   103,55","   361,19"
15.05,4.404,1.243," 3,54","   107,73","   381,70"
16.05,4.188,1.214," 3,45","   114,10","   393,61"
17.05,4.095,1.143," 3,58","   93,41","   334,66"
18.05,4.631,1.275," 3,63","   103,57","   376,19"
19.05,4.304,1.189," 3,62","   99,61","   360,57"
20.05,3.901,1.155," 3,38","   102,50","   346,18"
21.05,4.404,1.215," 3,62","   95,48","   346,10"
22.05,4.270,1.224," 3,49","   100,04","   348,98"
23.05,3.564,1.140," 3,13","   120,05","   375,31"
24.05,3.489,1.079," 3,23","   104,06","   336,49"
25.05,3.511,1.123," 3,13","   105,61","   330,17"
26.05,3.389,1.076," 3,15","   98,02","   308,73"
27.05,3.198,1.038," 3,08","   113,14","   348,56"
28.05,3.572,1.059," 3,37","   109,31","   368,72"
29.05,4.398,1.232," 3,57","   112,51","   401,65"
30.05,3.610,1.061," 3,40","   115,19","   391,94"
31.05,3.433,1.097," 3,13","   108,57","   339,75"
?,126.155,36.839," 105,97","   3324,73","   11344,54"
?,4.070,1.188," 3,42","   107,25","   365,95"
