Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/bzb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:20 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,146.415,36.325," 4,03","   72,65","   292,82"
02.05,117.082,31.630," 3,70","   88,07","   326,00"
03.05,94.433,30.622," 3,08","   103,66","   319,68"
04.05,140.440,38.720," 3,63","   86,07","   312,18"
05.05,131.619,40.190," 3,27","   96,73","   316,79"
06.05,135.805,38.950," 3,49","   89,45","   311,89"
07.05,116.750,35.374," 3,30","   97,86","   322,97"
08.05,115.962,34.563," 3,36","   96,04","   322,23"
09.05,97.406,29.112," 3,35","   92,60","   309,83"
10.05,106.027,29.503," 3,59","   81,75","   293,78"
11.05,160.744,39.186," 4,10","   77,48","   317,81"
12.05,135.759,35.585," 3,82","   83,33","   317,91"
13.05,124.546,38.498," 3,24","   94,76","   306,58"
14.05,131.175,35.540," 3,69","   81,43","   300,54"
15.05,126.194,35.374," 3,57","   83,44","   297,68"
16.05,100.522,28.881," 3,48","   93,58","   325,72"
17.05,115.968,30.977," 3,74","   74,20","   277,79"
18.05,163.984,40.564," 4,04","   74,49","   301,15"
19.05,141.377,36.017," 3,93","   75,22","   295,27"
20.05,150.773,33.821," 4,46","   64,09","   285,72"
21.05,142.271,29.204," 4,87","   53,64","   261,31"
22.05,114.699,29.115," 3,94","   70,63","   278,25"
23.05,107.984,31.813," 3,39","   93,66","   317,93"
24.05,79.673,25.202," 3,16","   91,66","   289,76"
25.05,126.165,33.054," 3,82","   79,41","   303,12"
26.05,116.948,34.712," 3,37","   91,73","   309,05"
27.05,118.199,37.018," 3,19","   101,28","   323,38"
28.05,116.929,32.536," 3,59","   84,41","   303,37"
29.05,130.029,40.480," 3,21","   92,68","   297,69"
30.05,106.035,33.286," 3,19","   82,70","   263,44"
31.05,77.670,24.566," 3,16","   98,55","   311,57"
?,3.789.583,1.050.418," 111,76","   2647,26","   9413,20"
?,122.245,33.884," 3,61","   85,40","   303,65"
