Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/gtb2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:26 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,11.437,2.718," 4,21","   59,47","   250,25"
02.05,8.870,2.204," 4,02","   70,71","   284,57"
03.05,8.376,2.490," 3,36","   72,46","   243,75"
04.05,16.479,3.655," 4,51","   51,40","   231,74"
05.05,15.016,3.318," 4,53","   57,35","   259,55"
06.05,10.814,2.961," 3,65","   72,32","   264,13"
07.05,9.366,2.534," 3,70","   69,15","   255,57"
08.05,9.736,2.413," 4,03","   73,76","   297,62"
09.05,9.381,2.143," 4,38","   83,00","   363,32"
10.05,8.674,2.152," 4,03","   73,92","   297,94"
11.05,14.803,3.216," 4,60","   63,11","   290,47"
12.05,13.644,2.899," 4,71","   56,92","   267,87"
13.05,17.631,4.334," 4,07","   59,02","   240,09"
14.05,12.056,3.339," 3,61","   72,03","   260,07"
15.05,13.002,2.837," 4,58","   54,86","   251,45"
16.05,10.081,2.220," 4,54","   57,23","   259,88"
17.05,8.253,1.896," 4,35","   61,53","   267,81"
18.05,10.743,2.826," 3,80","   66,67","   253,46"
19.05,11.215,2.542," 4,41","   63,53","   280,27"
20.05,11.431,2.526," 4,53","   66,43","   300,63"
21.05,8.057,1.881," 4,28","   70,51","   302,03"
22.05,8.801,2.121," 4,15","   74,85","   310,60"
23.05,12.288,2.097," 5,86","   56,35","   330,17"
24.05,6.951,1.728," 4,02","   75,91","   305,33"
25.05,13.571,3.540," 3,83","   58,33","   223,60"
26.05,11.816,2.714," 4,35","   64,69","   281,63"
27.05,9.749,2.515," 3,88","   78,51","   304,34"
28.05,16.499,3.270," 5,05","   43,23","   218,14"
29.05,14.902,3.232," 4,61","   53,25","   245,53"
30.05,9.540,3.113," 3,06","   75,11","   230,18"
31.05,8.255,2.822," 2,93","   85,59","   250,38"
?,351.437,84.256," 129,65","   2041,19","   8422,38"
?,11.337,2.718," 4,18","   65,84","   271,69"
