Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/liz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:31 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,11.904,4.321," 2,75","   80,00","   220,39"
02.05,12.584,4.155," 3,03","   82,12","   248,72"
03.05,10.142,4.238," 2,39","   88,25","   211,18"
04.05,15.130,5.307," 2,85","   67,63","   192,80"
05.05,16.431,5.211," 3,15","   67,46","   212,70"
06.05,12.742,4.607," 2,77","   76,34","   211,15"
07.05,12.227,4.593," 2,66","   76,30","   203,13"
08.05,11.578,4.156," 2,79","   87,91","   244,90"
09.05,12.540,3.744," 3,35","   76,43","   256,00"
10.05,11.594,3.800," 3,05","   74,80","   228,23"
11.05,17.886,5.207," 3,43","   61,54","   211,38"
12.05,19.279,4.975," 3,88","   53,50","   207,30"
13.05,15.229,4.543," 3,35","   68,12","   228,34"
14.05,14.951,4.638," 3,22","   72,79","   234,66"
15.05,13.052,4.355," 3,00","   78,38","   234,90"
16.05,12.737,3.510," 3,63","   67,90","   246,39"
17.05,9.326,3.133," 2,98","   79,56","   236,83"
18.05,13.417,4.338," 3,09","   73,61","   227,66"
19.05,12.356,4.174," 2,96","   73,80","   218,46"
20.05,13.934,4.885," 2,85","   70,75","   201,80"
21.05,10.796,3.518," 3,07","   75,52","   231,76"
22.05,12.475,3.618," 3,45","   67,79","   233,74"
23.05,13.794,3.791," 3,64","   68,47","   249,14"
24.05,10.116,3.386," 2,99","   75,01","   224,10"
25.05,12.791,4.427," 2,89","   80,77","   233,38"
26.05,12.750,4.299," 2,97","   73,24","   217,22"
27.05,12.875,3.960," 3,25","   73,40","   238,65"
28.05,11.683,4.020," 2,91","   72,67","   211,20"
29.05,13.089,4.171," 3,14","   66,66","   209,18"
30.05,11.528,3.982," 2,90","   74,03","   214,31"
31.05,9.740,3.517," 2,77","   71,03","   196,72"
?,400.676,130.579," 95,15","   2275,78","   6936,32"
?,12.925,4.212," 3,07","   73,41","   223,75"
