Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/ot2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:38 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,21.713,6.706," 3,24","   101,08","   327,27"
02.05,19.395,5.686," 3,41","   104,63","   356,90"
03.05,15.551,4.913," 3,17","   106,49","   337,07"
04.05,28.655,7.789," 3,68","   78,06","   287,16"
05.05,33.015,8.786," 3,76","   82,77","   311,02"
06.05,23.477,7.247," 3,24","   106,30","   344,35"
07.05,20.570,6.046," 3,40","   105,85","   360,13"
08.05,19.838,6.259," 3,17","   110,10","   348,96"
09.05,16.340,4.767," 3,43","   107,93","   369,95"
10.05,16.655,4.545," 3,66","   101,96","   373,61"
11.05,27.249,7.279," 3,74","   97,47","   364,88"
12.05,25.942,6.594," 3,93","   90,03","   354,21"
13.05,23.286,6.538," 3,56","   94,64","   337,09"
14.05,30.386,6.352," 4,78","   70,27","   336,13"
15.05,24.501,6.172," 3,97","   80,66","   320,20"
16.05,26.357,5.757," 4,58","   69,25","   317,03"
17.05,19.771,5.072," 3,90","   79,82","   311,13"
18.05,25.403,6.119," 4,15","   80,23","   333,08"
19.05,26.956,7.006," 3,85","   72,13","   277,54"
20.05,24.007,6.260," 3,83","   81,19","   311,35"
21.05,17.326,4.496," 3,85","   78,79","   303,61"
22.05,21.441,5.711," 3,75","   85,50","   320,98"
23.05,20.669,5.252," 3,94","   89,48","   352,16"
24.05,16.942,4.711," 3,60","   84,19","   302,75"
25.05,22.629,6.301," 3,59","   88,83","   319,03"
26.05,26.735,6.319," 4,23","   70,67","   299,01"
27.05,21.555,5.968," 3,61","   95,15","   343,64"
28.05,22.449,5.933," 3,78","   87,68","   331,75"
29.05,23.265,7.431," 3,13","   101,36","   317,35"
30.05,17.757,5.904," 3,01","   107,08","   322,06"
31.05,18.303,5.144," 3,56","   83,22","   296,10"
?,698.138,189.063," 114,51","   2792,79","   10187,51"
?,22.521,6.099," 3,69","   90,09","   328,63"
