Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/saw,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:43 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,826,643," 1,28","   181,15","   232,71"
02.05,3.637,1.502," 2,42","   144,70","   350,38"
03.05,11.648,2.223," 5,24","   37,87","   198,42"
04.05,1.406,711," 1,98","   68,01","   134,49"
05.05,679,577," 1,18","   226,36","   266,37"
06.05,609,510," 1,19","   213,66","   255,13"
07.05,517,467," 1,11","   265,71","   294,16"
08.05,714,539," 1,32","   158,56","   210,04"
09.05,3.810,2.034," 1,87","   174,60","   327,05"
10.05,2.638,2.142," 1,23","   187,60","   231,04"
11.05,1.195,950," 1,26","   246,33","   309,85"
12.05,861,716," 1,20","   164,63","   197,97"
13.05,900,678," 1,33","   115,30","   153,06"
14.05,691,557," 1,24","   166,77","   206,90"
15.05,822,683," 1,20","   207,48","   249,71"
16.05,4.506,3.068," 1,47","   212,92","   312,71"
17.05,2.036,1.611," 1,26","   152,87","   193,20"
18.05,1.029,821," 1,25","   173,67","   217,67"
19.05,665,588," 1,13","   259,61","   293,60"
20.05,646,550," 1,17","   226,42","   265,94"
21.05,560,477," 1,17","   278,17","   326,57"
22.05,633,545," 1,16","   277,79","   322,64"
23.05,22.697,3.206," 7,08","   28,01","   198,30"
24.05,21.919,2.167," 10,11","   18,72","   189,40"
25.05,1.609,1.167," 1,38","   81,17","   111,91"
26.05,1.350,1.090," 1,24","   100,04","   123,90"
27.05,778,676," 1,15","   143,28","   164,90"
28.05,700,589," 1,19","   202,38","   240,52"
29.05,768,628," 1,22","   155,92","   190,68"
30.05,7.171,2.859," 2,51","   95,44","   239,39"
31.05,3.217,1.711," 1,88","   118,65","   223,08"
?,101.237,36.685," 61,45","   5083,78","   7231,69"
?,3.266,1.183," 1,98","   163,99","   233,28"
