Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
Filter: /live/soz2016,,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:52:49 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,67.802,19.191," 3,53","   81,63","   288,42"
02.05,55.937,16.682," 3,35","   86,42","   289,77"
03.05,50.040,15.549," 3,22","   85,86","   276,31"
04.05,100.442,19.678," 5,10","   51,41","   262,41"
05.05,96.020,21.594," 4,45","   66,39","   295,22"
06.05,69.817,19.070," 3,66","   82,67","   302,65"
07.05,63.627,18.092," 3,52","   84,21","   296,17"
08.05,64.648,18.569," 3,48","   85,57","   297,90"
09.05,61.479,16.243," 3,78","   72,62","   274,88"
10.05,54.360,14.724," 3,69","   75,27","   277,90"
11.05,88.305,20.109," 4,39","   69,32","   304,40"
12.05,88.942,18.962," 4,69","   65,28","   306,19"
13.05,67.434,18.241," 3,70","   82,35","   304,43"
14.05,72.802,18.197," 4,00","   72,37","   289,54"
15.05,67.360,17.093," 3,94","   74,10","   292,02"
16.05,55.497,13.803," 4,02","   70,63","   283,99"
17.05,52.592,12.477," 4,22","   64,34","   271,20"
18.05,78.124,16.663," 4,69","   61,27","   287,25"
19.05,81.062,18.142," 4,47","   62,41","   278,88"
20.05,72.819,17.730," 4,11","   67,61","   277,67"
21.05,58.694,16.443," 3,57","   70,99","   253,42"
22.05,63.971,16.710," 3,83","   70,17","   268,62"
23.05,66.715,17.710," 3,77","   75,23","   283,39"
24.05,49.959,13.512," 3,70","   69,07","   255,36"
25.05,63.988,16.370," 3,91","   71,45","   279,28"
26.05,76.531,17.577," 4,35","   62,88","   273,77"
27.05,63.333,16.695," 3,79","   81,89","   310,67"
28.05,56.210,15.979," 3,52","   82,83","   291,37"
29.05,58.459,16.701," 3,50","   84,59","   296,11"
30.05,44.021,13.042," 3,38","   85,40","   288,24"
31.05,38.119,11.698," 3,26","   83,17","   271,03"
?,2.049.109,523.246," 120,58","   2299,40","   8828,44"
?,66.100,16.879," 3,89","   74,17","   284,79"
