Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bat/android/p...paper, /nwn/apps/epaper/bat",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:43:30 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,3.446,451," 7,64","   39,09","   298,71"
02.05,20.758,748," 27,75","   35,61","   988,13"
03.05,3.393,158," 21,47","   32,68","   701,69"
04.05,13.316,779," 17,09","   41,52","   709,78"
05.05,14.513,719," 20,18","   39,88","   805,02"
06.05,14.804,707," 20,94","   42,07","   880,88"
07.05,14.636,680," 21,52","   37,02","   796,72"
08.05,13.196,664," 19,87","   39,54","   785,74"
09.05,19.766,686," 28,81","   33,54","   966,43"
10.05,3.395,149," 22,79","   36,61","   834,24"
11.05,14.145,913," 15,49","   38,47","   596,00"
12.05,14.691,678," 21,67","   35,51","   769,38"
13.05,14.846,730," 20,34","   40,66","   826,83"
14.05,22.874,702," 32,58","   27,10","   882,96"
15.05,13.530,661," 20,47","   36,48","   746,79"
16.05,19.242,673," 28,59","   32,62","   932,51"
17.05,3.291,132," 24,93","   26,81","   668,36"
18.05,13.690,752," 18,20","   39,35","   716,40"
19.05,13.536,684," 19,79","   37,27","   737,65"
20.05,14.716,676," 21,77","   35,74","   778,09"
21.05,2.258,180," 12,54","   32,04","   401,88"
22.05,17.328,716," 24,20","   30,96","   749,27"
23.05,19.120,663," 28,84","   33,80","   974,74"
24.05,4.277,143," 29,91","   26,84","   802,73"
25.05,12.982,702," 18,49","   37,22","   688,26"
26.05,13.869,670," 20,70","   35,71","   739,14"
27.05,15.647,666," 23,49","   34,55","   811,73"
28.05,14.974,682," 21,96","   36,79","   807,77"
29.05,14.513,680," 21,34","   35,95","   767,26"
30.05,17.950,679," 26,44","   32,05","   847,23"
31.05,3.129,155," 20,19","   38,34","   773,98"
?,401.831,18.278," 680,02","   1101,80","   23786,29"
?,12.962,590," 21,94","   35,54","   767,30"
