Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/blz/android/p...paper, /nwn/apps/epaper/blz",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:44:32 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,12.676,1.267," 10,00","   33,04","   330,54"
02.05,92.901,4.123," 22,53","   34,68","   781,47"
03.05,16.485,717," 22,99","   29,16","   670,44"
04.05,50.409,3.978," 12,67","   41,06","   520,30"
05.05,49.217,3.554," 13,85","   41,50","   574,72"
06.05,53.104,3.579," 14,84","   39,42","   584,87"
07.05,52.731,3.490," 15,11","   39,74","   600,45"
08.05,51.700,3.389," 15,26","   39,98","   609,94"
09.05,82.163,3.566," 23,04","   34,28","   789,94"
10.05,16.823,716," 23,50","   36,01","   846,13"
11.05,50.806,3.768," 13,48","   37,13","   500,58"
12.05,46.795,3.515," 13,31","   41,57","   553,39"
13.05,54.064,3.596," 15,03","   38,13","   573,20"
14.05,54.515,3.525," 15,47","   37,39","   578,23"
15.05,52.811,3.446," 15,33","   38,34","   587,53"
16.05,80.922,3.538," 22,87","   32,69","   747,78"
17.05,19.734,762," 25,90","   30,35","   785,86"
18.05,48.639,3.733," 13,03","   42,54","   554,29"
19.05,47.636,3.402," 14,00","   39,44","   552,29"
20.05,71.131,3.417," 20,82","   29,40","   611,99"
21.05,12.292,829," 14,83","   33,06","   490,15"
22.05,55.854,3.730," 14,97","   39,21","   587,13"
23.05,88.826,3.747," 23,71","   32,69","   775,06"
24.05,15.943,701," 22,74","   30,37","   690,76"
25.05,49.551,3.728," 13,29","   35,32","   469,42"
26.05,48.388,3.348," 14,45","   41,66","   602,06"
27.05,57.876,3.440," 16,82","   36,57","   615,20"
28.05,53.542,3.435," 15,59","   37,28","   581,04"
29.05,54.523,3.476," 15,69","   36,56","   573,39"
30.05,81.344,3.594," 22,63","   32,28","   730,56"
31.05,15.590,707," 22,05","   35,76","   788,50"
?,1.538.991,91.816," 539,80","   1126,59","   19257,23"
?,49.645,2.962," 17,41","   36,34","   621,20"
