Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/p...zb/live, /nwn/apps/live/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:45:25 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,13.881,4.463," 3,11","   125,66","   390,84"
02.05,12.699,4.296," 2,96","   131,82","   389,65"
03.05,11.159,3.906," 2,86","   128,10","   365,98"
04.05,12.552,4.221," 2,97","   113,36","   337,11"
05.05,12.461,3.996," 3,12","   119,43","   372,42"
06.05,12.264,4.019," 3,05","   119,25","   363,90"
07.05,10.847,3.739," 2,90","   126,73","   367,65"
08.05,11.524,3.935," 2,93","   125,56","   367,73"
09.05,10.615,3.716," 2,86","   122,54","   350,03"
10.05,10.770,3.800," 2,83","   124,05","   351,60"
11.05,11.916,4.134," 2,88","   131,33","   378,56"
12.05,11.206,3.884," 2,89","   134,48","   388,01"
13.05,11.087,3.886," 2,85","   135,76","   387,33"
14.05,10.760,3.696," 2,91","   123,00","   358,09"
15.05,11.120,3.855," 2,88","   125,30","   361,45"
16.05,11.270,3.984," 2,83","   130,09","   368,01"
17.05,10.730,3.760," 2,85","   117,18","   334,41"
18.05,12.662,4.136," 3,06","   123,74","   378,83"
19.05,11.298,3.729," 3,03","   116,10","   351,75"
20.05,11.338,3.795," 2,99","   124,46","   371,83"
21.05,12.419,3.878," 3,20","   110,26","   353,09"
22.05,10.546,3.670," 2,87","   114,62","   329,38"
23.05,11.360,4.031," 2,82","   131,17","   369,67"
24.05,8.834,3.435," 2,57","   117,36","   301,81"
25.05,10.371,3.673," 2,82","   127,11","   358,89"
26.05,10.471,3.584," 2,92","   120,23","   351,26"
27.05,11.137,3.794," 2,94","   128,37","   376,82"
28.05,10.579,3.601," 2,94","   119,42","   350,84"
29.05,11.956,3.870," 3,09","   123,23","   380,70"
30.05,10.302,3.465," 2,97","   122,01","   362,75"
31.05,9.245,3.390," 2,73","   131,33","   358,14"
?,349.379,119.341," 90,64","   3843,07","   11228,53"
?,11.270,3.850," 2,92","   123,97","   362,21"
