Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/bzb/android/p...paper, /nwn/apps/epaper/bzb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:45:46 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,35,20," 1,75","   11,13","   19,48"
02.05,723,187," 3,87","   38,01","   146,96"
03.05,214,20," 10,70","   29,37","   314,27"
04.05,69,14," 4,93","   16,47","   81,19"
05.05,86,15," 5,73","   50,39","   288,93"
06.05,38,15," 2,53","   25,67","   65,02"
07.05,21,13," 1,62","   44,75","   72,29"
08.05,11,10," 1,10","   255,00","   280,50"
09.05,903,194," 4,65","   28,24","   131,43"
10.05,57,17," 3,35","   26,88","   90,11"
11.05,62,19," 3,26","   94,63","   308,79"
12.05,88,16," 5,50","   50,74","   279,05"
13.05,36,14," 2,57","   172,32","   443,10"
14.05,16,12," 1,33","   170,50","   227,33"
15.05,56,13," 4,31","   28,47","   122,62"
16.05,679,198," 3,43","   34,16","   117,16"
17.05,21,17," 1,24","   51,50","   63,62"
18.05,7,5," 1,40","   95,50","   133,70"
19.05,16,13," 1,23","   117,67","   144,82"
20.05,105,19," 5,53","   19,32","   106,76"
21.05,28,14," 2,00","   69,57","   139,14"
22.05,16,11," 1,45","   98,50","   143,27"
23.05,661,200," 3,30","   23,64","   78,12"
24.05,70,18," 3,89","   8,60","   33,46"
25.05,12,10," 1,20","   282,00","   338,40"
26.05,16,14," 1,14","   60,00","   68,57"
27.05,48,15," 3,20","   109,61","   350,74"
28.05,15,8," 1,88","   55,29","   103,66"
29.05,30,14," 2,14","   244,75","   524,46"
30.05,686,185," 3,71","   37,24","   138,08"
31.05,127,16," 7,94","   15,12","   119,99"
?,4.952,1.336," 101,89","   2365,01","   5475,02"
?,160,43," 3,29","   76,29","   176,61"
