Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/ios/table...tb/live, /nwn/apps/live/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:46:53 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,4.624,1.475," 3,13","   113,09","   354,52"
02.05,4.049,1.309," 3,09","   115,15","   356,19"
03.05,4.282,1.366," 3,13","   107,01","   335,43"
04.05,5.091,1.375," 3,70","   91,44","   338,56"
05.05,4.508,1.289," 3,50","   103,11","   360,59"
06.05,3.935,1.234," 3,19","   102,94","   328,25"
07.05,3.561,1.189," 2,99","   106,95","   320,32"
08.05,3.668,1.195," 3,07","   115,15","   353,46"
09.05,4.026,1.182," 3,41","   112,63","   383,63"
10.05,3.810,1.197," 3,18","   101,91","   324,39"
11.05,4.983,1.438," 3,47","   91,31","   316,42"
12.05,4.174,1.305," 3,20","   102,73","   328,58"
13.05,4.848,1.393," 3,48","   100,87","   351,05"
14.05,3.948,1.275," 3,10","   105,20","   325,75"
15.05,4.104,1.328," 3,09","   105,39","   325,69"
16.05,3.740,1.183," 3,16","   110,12","   348,13"
17.05,3.063,1.143," 2,68","   114,64","   307,21"
18.05,3.703,1.180," 3,14","   91,03","   285,67"
19.05,3.953,1.177," 3,36","   96,32","   323,50"
20.05,3.927,1.262," 3,11","   109,62","   341,12"
21.05,3.845,1.217," 3,16","   111,14","   351,14"
22.05,3.677,1.160," 3,17","   96,42","   305,65"
23.05,4.343,1.215," 3,57","   104,15","   372,27"
24.05,2.975,1.060," 2,81","   102,30","   287,13"
25.05,3.712,1.190," 3,12","   101,23","   315,77"
26.05,3.470,1.115," 3,11","   94,64","   294,54"
27.05,3.615,1.150," 3,14","   103,24","   324,53"
28.05,3.491,1.045," 3,34","   102,85","   343,60"
29.05,3.941,1.208," 3,26","   103,14","   336,50"
30.05,3.355,1.087," 3,09","   94,02","   290,18"
31.05,3.178,1.049," 3,03","   98,93","   299,71"
?,121.599,37.991," 98,99","   3208,69","   10229,47"
?,3.923,1.226," 3,19","   103,51","   329,98"
