Report: Besucher/Übersicht,,,,,
Site: aznetz,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,
"Filter: /apps/nwn/gtb/android/p...paper, /nwn/apps/epaper/gtb",,,,,
Darstellung: Darstellung pro Tag,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,
Report erstellt am: 01.06.2020 03:47:15 GMT,,,,,
Zeitraum,Pis,Visits,Pis/Visit,Viewtime,Visits Duration
01.05,2.775,358," 7,75","   46,91","   363,64"
02.05,14.610,500," 29,22","   31,17","   910,73"
03.05,2.086,94," 22,19","   31,75","   704,51"
04.05,8.206,508," 16,15","   36,49","   589,52"
05.05,8.639,457," 18,90","   41,05","   775,95"
06.05,9.408,447," 21,05","   35,56","   748,51"
07.05,8.183,427," 19,16","   38,89","   745,25"
08.05,8.437,435," 19,40","   34,32","   665,67"
09.05,12.627,430," 29,37","   33,88","   995,03"
10.05,2.742,76," 36,08","   32,12","   1158,90"
11.05,9.332,506," 18,44","   33,54","   618,51"
12.05,9.379,445," 21,08","   32,79","   691,00"
13.05,9.226,490," 18,83","   40,12","   755,42"
14.05,9.342,464," 20,13","   36,05","   725,83"
15.05,8.251,429," 19,23","   35,84","   689,28"
16.05,14.434,454," 31,79","   26,18","   832,45"
17.05,2.785,104," 26,78","   35,11","   940,24"
18.05,7.924,460," 17,23","   40,17","   692,00"
19.05,7.349,430," 17,09","   35,99","   615,11"
20.05,7.691,435," 17,68","   38,26","   676,44"
21.05,1.616,136," 11,88","   37,65","   447,40"
22.05,8.795,475," 18,52","   30,99","   573,83"
23.05,14.353,490," 29,29","   28,41","   832,06"
24.05,1.945,77," 25,26","   29,24","   738,51"
25.05,7.574,433," 17,49","   34,08","   596,05"
26.05,7.268,412," 17,64","   38,10","   672,12"
27.05,8.559,408," 20,98","   33,91","   711,27"
28.05,8.196,415," 19,75","   32,84","   648,55"
29.05,8.485,453," 18,73","   34,12","   639,03"
30.05,12.470,434," 28,73","   29,64","   851,71"
31.05,2.929,105," 27,90","   30,64","   854,58"
?,245.616,11.787," 663,72","   1075,80","   22459,09"
?,7.923,380," 21,41","   34,70","   724,49"
